Page Name,Page category,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Total Non-Like,Love,Care,Wow,Haha,Sad,Angry,Neg1,Neg2,Negative,Positive,Total Interactions,Overperforming Score,Type,Link,Content,Message,Post Created
Kementerian Pendidikan dan Kebudayaan RI,Official Page,1705,219,1055,36,1,0,0,0,2,39,9.20E-01,5.00E-02,3.00E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E-02,3.00E-02,9.70E-01,4.16E+00,-3.33E+00,Photo,https://www.facebook.com/119573194818796/posts/3114942001948552,Kouta internet gratis,"#SahabatDikbud, Mendikbud Nadiem Makarim @nadiemmakarim hadir dalam rapat kerja DPR RI Komisi X di Jakarta pada Kamis (27/08/2020).Raker tersebut memiliki tiga agenda, yaitu penyesuaian kebijakan pendidikan, inisiatif, dan solusi di masa pandemi Covid-19; subsidi kuota internet dan peningkatan jumlah penerima tunjangan profesi; dan laporan keuangan Kemendikbud tahun 2019.Baca selengkapnya di https://www.kemdikbud.go.id/.../komisi-x-dpr-ri-apresiasi...Sumber foto : @tasori123#MerdekaBelajar #RakerDPRRI #RakerKemendikbud",2020-11-16 06:30:07 EST
Kementerian Pendidikan dan Kebudayaan RI,Official Page,196,25,24,11,0,0,0,0,3,14,7.90E-01,2.10E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,3.07E+00,6.51E+00,Photo,https://www.facebook.com/Kemdikbud.RI/photos/a.271559472953500/3114941128615306/?type=3,Kouta internet gratis,"#SahabatDikbud, salah satu pertimbangan diperbolehkannya pembelajaran tatap muka diperluas hingga zona kuning adalah banyaknya satuan pendidikan di daerah 3T (terdepan, terluar, dan tertinggal) sangat kesulitan untuk melaksanakan Pembelajaran Jarak Jauh (PJJ) karena minimnya akses.Hal ini dapat berdampak negatif terhadap tumbuh kembang dan psikososial anak secara permanen. Saat ini, 88% dari keseluruhan daerah 3T berada di zona kuning dan hijau. Dengan adanya penyesuaian Surat Keputusan Bersama (SKB) Empat Menteri, maka satuan pendidikan yang siap dan ingin melaksanakan pembelajaran tatap muka memiliki opsi untuk melaksanakannya secara bertahap dengan protokol kesehatan yang ketat.Walaupun berada di zona hijau dan kuning, satuan pendidikan tidak dapat melakukan pembelajaran tatap muka tanpa adanya persetujuan (1) Pemda/kanwil, (2) kepala sekolah (setelah sekolah dapat memenuhi protokol kesehatan yang ketat), dan (3) adanya persetujuan komite sekolah.Kemudian walaupun sekolah sudah melakukan pembelajaran tatap muka, persyaratan terakhir adalah adanya persetujuan dari orang tua peserta didik. Jika orang tua tidak setuju maka peserta didik tetap belajar dari rumah dan tidak dapat dipaksa.#MerdekaBelajar #BersamaHadapiKorona #BelajardariRumah #SeruBelajarKebiasaanBaru",2020-12-26 02:03:14 EST
Kementerian Pendidikan dan Kebudayaan RI,Official Page,439,35,163,7,0,0,0,0,0,7,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,2.92E+00,3.56E+01,Photo,https://www.facebook.com/119573194818796/posts/3203638649745553,Kouta internet gratis,"#SahabatDikbud, saksikan peresmian kebijakan ""Bantuan Kuota Data Internet Tahun 2020"" dengan narasumber Mendikbud Nadiem Makarim @nadiemmakarim , Menteri Badan Usaha Milik Negara Erick Thohir @kementerianbumn @erickthohir , dan Menteri Komunikasi dan Informatika Johnny G. Plate @kemenkominfo @johnnyplate .Acara akan ditayangkan hari ini, Jumat, 25 September 2020, pukul 10.00 WIB hanya di kanal YouTube KEMENDIKBUD RI . Jangan terlewatkan ya, #SahabatDikbud! #MerdekaBelajar #BantuanKuotaInternet #BersamaHadapiKorona #BangkitUntukIndonesiaMaju",2020-09-24 10:50:56 EDT
Kementerian Pendidikan dan Kebudayaan RI,Official Page,329,126,36,13,0,0,0,0,0,13,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,2.97E+00,3.58E+01,Photo,https://www.facebook.com/119573194818796/posts/3479060008870081,Kouta internet gratis,"#SahabatDikbud, dapat informasi resmi selengkapnya mengenai Bantuan Kuota Data Internet Kemendikbud hanya di laman http://kuota-belajar.kemdikbud.go.id.#MerdekaBelajar",2020-10-22 23:30:37 EDT
Kementerian Pendidikan dan Kebudayaan RI,Official Page,545,102,153,9,0,0,0,0,2,11,8.20E-01,1.80E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,2.84E+00,3.81E+01,Photo,https://www.facebook.com/119573194818796/posts/3191253704317381,Kouta internet gratis,"#SahabatDikbud, Kementerian Pendidikan dan Kebudayaan (Kemendikbud) terbitkan Peraturan Sekretaris Jenderal Nomor 14 Tahun 2020, tentang Petunjuk Teknis Bantuan Kuota Data Internet Tahun 2020. Petunjuk teknis (juknis) ini menjadi pedoman dalam penyaluran bantuan kuota data internet bagi pendidik dan peserta didik sehingga dapat mendukung penerapan pembelajaran jarak jauh selama masa pandemi COVID-19.“Bantuan kuota data internet diberikan kepada siswa, mahasiswa, pendidik dan guru, serta dosen,” jelas Sekretaris Jenderal Kemendikbud Ainun Na’im, di Jakarta, Senin (21/09/2020).Bagi sekolah yang telah mengirimkan Surat Pernyataan Tanggung Jawab Mutlak (SPTJM) untuk program bantuan kuota internet untuk Pembelajaran Jarak Jauh (PJJ) dapat dilakukan pengecekan di laman verifikasi validasi https://vervalponsel.data.kemdikbud.go.id/Baca selengkapnya di https://www.kemdikbud.go.id/.../kemendikbud-terbitkan...#MerdekaBelajar #CerdasBerkarakter",2020-09-20 23:30:12 EDT
Inspektorat Jenderal Kemendikbud,Official Page,116,35,110,2,0,0,0,0,1,3,6.70E-01,3.30E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.76E+00,1.13E+01,Photo,https://www.facebook.com/119573194818796/posts/3205178496258235,Kouta internet gratis,"#SahabatDikbud, hari Jumat (25/09/2020), Kementerian Pendidikan dan Kebudayaan (Kemendikbud) meluncurkan program penyaluran bantuan kuota internet bagi peserta didik dan pendidik untuk mendukung penerapan pembelajaran jarak jauh (PJJ) selama masa pandemi COVID-19. Untuk itu, Kemendikbud melalui Direktorat Sekolah Menengah Pertama (SMP) menyelenggarakan kegiatan komunikasi dan digitalisasi jenjang SMP untuk memberikan pengetahuan kepada peserta didik agar dapat memanfaatkan internet dengan sehat.Direktur Jenderal Pendidikan Anak Usia Dini (PAUD), Pendidikan Dasar dan Pendidikan Menengah (DASMEN), Kemendikbud, Jumeri mengatakan kegiatan ini digelar karena banyak peserta didik yang telah memiliki gawai dan kuota namun masih belum mampu berkomunikasi secara aktif dengan tenaga pendidik sehingga hasil belajarnya menurun.Baca selengkapnya di https://www.kemdikbud.go.id/.../kemendikbud-selenggarakan...",2020-08-31 23:08:54 EDT
Kementerian Pendidikan dan Kebudayaan RI,Official Page,725,54,455,16,0,0,0,0,2,18,8.90E-01,1.10E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,2.76E+00,2.48E+01,Photo,https://www.facebook.com/119573194818796/posts/3176191852490233,Kouta internet gratis,"#SahabatDikbud , proses entri data dan verval tetap bisa dilanjutkan bagi sekolah yang terkendala walau melewati tenggat, sehingga seluruh pendidik dan peserta didik mendapat hak yang sama dari program ini.Koordinasi dengan pihak terkait terus dilaksanakan secara intensif untuk menyempurnakan mekanisme penyaluran data ini.#MerdekaBelajar #VerifikasidanValidasi",2020-12-11 06:39:01 EST
Kementerian Pendidikan dan Kebudayaan RI,Official Page,253,23,108,9,0,0,0,0,2,11,8.20E-01,1.80E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,3.60E+00,4.82E+00,Photo,https://www.facebook.com/877214299031879/posts/3287925444627407,Kouta internet gratis,"#SahabatItjen.Kemendikbud akan memberikan kuota internet gratis kepada siswa sebesar 35GB per bulan dan guru 42GB per bulan. Adapun mahasiswa dan dosen masing-masing 50GB per bulan. Kuota internet ini akan diberikan selama 4 bulan mulai September hingga Desember 2020..Subsidi kuota internet ini sebagai penunjsng kegiatan pembelajaran jarak jauh (PJJ)..Jadwal pendataan yang sebelumnya batas maksimal 31 Agustus 2020, kini diperpanjang hingga 11 September 2020..Bagi para kepala satuan pendidikan, silahkan melakukan pendataan guru dan siswanya melalui aplikasi Dapodik.",2020-05-13 02:00:01 EDT
Kementerian Pendidikan dan Kebudayaan RI,Official Page,206,2,33,5,0,0,0,0,0,5,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,3.20E+00,1.51E+01,Photo,https://www.facebook.com/119573194818796/posts/3205178496258235,Kouta internet gratis,"#SahabatDikbud, hari Jumat (25/09/2020), Kementerian Pendidikan dan Kebudayaan (Kemendikbud) meluncurkan program penyaluran bantuan kuota internet bagi peserta didik dan pendidik untuk mendukung penerapan pembelajaran jarak jauh (PJJ) selama masa pandemi COVID-19. Untuk itu, Kemendikbud melalui Direktorat Sekolah Menengah Pertama (SMP) menyelenggarakan kegiatan komunikasi dan digitalisasi jenjang SMP untuk memberikan pengetahuan kepada peserta didik agar dapat memanfaatkan internet dengan sehat.Direktur Jenderal Pendidikan Anak Usia Dini (PAUD), Pendidikan Dasar dan Pendidikan Menengah (DASMEN), Kemendikbud, Jumeri mengatakan kegiatan ini digelar karena banyak peserta didik yang telah memiliki gawai dan kuota namun masih belum mampu berkomunikasi secara aktif dengan tenaga pendidik sehingga hasil belajarnya menurun.Baca selengkapnya di https://www.kemdikbud.go.id/.../kemendikbud-selenggarakan...",2020-10-07 04:47:59 EDT
Kementerian Pendidikan dan Kebudayaan RI,Official Page,107,6,3,2,0,0,1,0,0,3,6.70E-01,0.00E+00,0.00E+00,0.00E+00,3.30E-01,0.00E+00,3.30E-01,0.00E+00,3.30E-01,6.70E-01,3.85E+00,-2.57E+01,Photo,https://www.facebook.com/119573194818796/posts/3070054819770604,Belajar di rumah,"#SahabatDikbud, sudah membaca Surat Keputusan Bersama (SKB) empat menteri tentang perubahan atas SKB tentang Paduan Penyelengaraan Pembelajaran di masa pandemi Covid-19?Yuk, baca selengkapnya dan unduh pada laman berikut https://www.kemdikbud.go.id/.../skb-empat-menteri-tentang... ! #MerdekaBelajar #BersamaHadapiKorona #BelajardariRumah #SeruBelajarKebiasaanBaru #BangkituntukIndonesiaMaju",2020-10-03 05:30:50 EDT
Kementerian Pendidikan dan Kebudayaan RI,Official Page,1087,109,453,25,0,3,0,0,6,34,7.40E-01,1.80E-01,0.00E+00,9.00E-02,0.00E+00,0.00E+00,0.00E+00,9.00E-02,9.00E-02,9.10E-01,3.05E+00,-2.91E+00,Photo,https://www.facebook.com/119573194818796/posts/2716928428416580,Belajar di rumah,"#SahabatDikbud, yuk simak pengumuman sementara mengenai pelaksanaan Ujian Nasional (UN) tahun pelajaran 2019/2020. Pengumuman secara detail akan diumumkan selanjutnya. Simak informasi resmi mengenai UN 2020 pada kanal resmi Kemendikbud, ya! #MerdekaBelajar #UN2020",2020-11-20 21:00:33 EST
Kementerian Pendidikan dan Kebudayaan RI,Official Page,125,11,41,0,0,1,0,0,0,1,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.00E+00,0.00E+00,2.05E+00,1.85E+01,Photo,https://www.facebook.com/119573194818796/posts/2985926908183396,Belajar di rumah,"#SahabatDikbud,  Pandemi Covid-19 membuat pembelajaran yang sedianya dilakukan secara tatap muka beralih menjadi pembelajaran jarak jauh (PJJ), baik secara dalam jaringan (daring) maupun luar jaringan (luring). Kementerian Pendidikan dan Kebudayaan (Kemendikbud) bersama Kementerian Kesehatan (Kemenkes), Kementerian Dalam Negeri (Kemendagri), Kementerian Agama (Kemenag) telah mengeluarkan Surat Keputusan Bersama (SKB) tentang Panduan Pembelajaran Pada Tahun Ajaran Baru dan Tahun Akademi Baru di Masa Pandemi COVID-19.Menteri Pendidikan dan Kebudayaan (Mendikbud), Nadiem Anwar Makarim, dalam wawancara telekonferensi menyebutkan bahwa terdapat Beberapa kabupaten/kota yang merupakan zona hijau menurut Gugus Tugas Percepatan Penanganan COVID-19 Nasional, dengan demikian dimungkinkan memulai pembelajaran tatap muka dengan persyaratan protokol kesehatan yang ketat. Kendati demikian, prosesnya dilakukan secara bertahap, yakni dimulai dari jenjang SMP dan SMA/SMK terlebih dahulu.Baca selengkapnya di https://www.kemdikbud.go.id/.../mendikbud-kembali...#MerdekaBelajar #BersamaHadapiKorona",2021-01-17 03:15:00 EST
detik.com,Portal Berita,9491,681,2218,138,216,29,63,9,27,482,2.90E-01,6.00E-02,4.50E-01,6.00E-02,1.30E-01,2.00E-02,1.50E-01,5.10E-01,6.60E-01,3.40E-01,7.78E-01,2.98E+01,Link,https://www.facebook.com/374777242078/posts/10159044132267079,UN 2020 ditiadakan,Kemendikbud resmi menghapus ujian nasional (UN) 2020 akibat pendemi Corona (COVID-19). Kemendikbud telah mengatur mekanisme kelulusan siswa.,2020-06-03 09:37:40 EDT
Tirto.id,Portal Berita,88,6,7,0,0,3,2,0,0,5,0.00E+00,0.00E+00,0.00E+00,6.00E-01,4.00E-01,0.00E+00,4.00E-01,6.00E-01,1.00E+00,0.00E+00,2.03E+00,-3.01E+01,Link,https://www.facebook.com/1515768312081946/posts/2872137619778335,Belajar di rumah,Sebuah riset mengungkap ada 69 juta siswa Indonesia yang menghadapi ancaman kehilangan akses pendidikan selama pandemi COVID-19. Problem klasik pun mencuat: kesenjangan digital rupanya masih lebar. #CatatanReporterhttps://tirto.id/f6nD,2020-10-27 05:01:10 EDT
Kompas.com,Portal Berita,55,57,5,0,4,5,0,0,0,9,0.00E+00,0.00E+00,4.40E-01,5.60E-01,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.00E+00,0.00E+00,2.10E+00,1.60E+01,Link,https://www.facebook.com/17353926534/posts/10159385967411535,Belajar di rumah,Berbagai penyesuaian kebijakan pendidikan di masa pandemi Covid-19 telah dilakukan Kementerian Pendidikan dan Kebudayaan.,2020-10-27 20:57:03 EDT
Kementerian Pendidikan dan Kebudayaan RI,Official Page,1515,225,1501,57,22,4,1,2,4,90,6.30E-01,4.00E-02,2.40E-01,4.00E-02,1.00E-02,2.00E-02,3.00E-02,2.80E-01,3.10E-01,6.80E-01,3.23E+00,6.20E-01,Photo,https://www.facebook.com/119573194818796/posts/3058099730966113,Belajar di rumah,"#SahabatDikbud, salah satu pertimbangan diperbolehkannya pembelajaran tatap muka diperluas hingga zona kuning adalah banyaknya satuan pendidikan di daerah 3T (terdepan, terluar, dan tertinggal) sangat kesulitan untuk melaksanakan Pembelajaran Jarak Jauh (PJJ) karena minimnya akses.Hal ini dapat berdampak negatif terhadap tumbuh kembang dan psikososial anak secara permanen. Saat ini, 88% dari keseluruhan daerah 3T berada di zona kuning dan hijau. Dengan adanya penyesuaian Surat Keputusan Bersama (SKB) Empat Menteri, maka satuan pendidikan yang siap dan ingin melaksanakan pembelajaran tatap muka memiliki opsi untuk melaksanakannya secara bertahap dengan protokol kesehatan yang ketat.Walaupun berada di zona hijau dan kuning, satuan pendidikan tidak dapat melakukan pembelajaran tatap muka tanpa adanya persetujuan (1) Pemda/kanwil, (2) kepala sekolah (setelah sekolah dapat memenuhi protokol kesehatan yang ketat), dan (3) adanya persetujuan komite sekolah.Kemudian walaupun sekolah sudah melakukan pembelajaran tatap muka, persyaratan terakhir adalah adanya persetujuan dari orang tua peserta didik. Jika orang tua tidak setuju maka peserta didik tetap belajar dari rumah dan tidak dapat dipaksa.#MerdekaBelajar #BersamaHadapiKorona #BelajardariRumah #SeruBelajarKebiasaanBaru",2020-11-23 07:00:41 EST
Kementerian Pendidikan dan Kebudayaan RI,Official Page,116,10,6,3,0,1,0,0,0,4,7.50E-01,0.00E+00,0.00E+00,2.50E-01,0.00E+00,0.00E+00,0.00E+00,2.50E-01,2.50E-01,7.50E-01,3.20E+00,-1.81E+01,Photo,https://www.facebook.com/119573194818796/posts/3254367824672635,Belajar di rumah,"#SahabatDikbud, Unit Layanan Terpadu Kemendikbud akan melanjutkan layanan tatap muka daring melalui aplikasi zoom, loh.#SahabatDikbud, yuk daftarkan dirimu melalui tautan ringkas.kemdikbud.go.id/DaftarULT ! Pastikan setelah mendaftar untuk mencatat tanggallayanan yang dipilih dan perhatikan informasi pada formulir pendaftaran, ya.#MerdekaBelajar #ULTKemdikbud #BersamaHadapiKorona #TatapMukaDaring#UnggahUlang @ult.kemdikbud",2021-01-17 19:00:52 EST
Kementerian Pendidikan dan Kebudayaan RI,Official Page,679,82,510,9,0,2,1,0,1,13,6.90E-01,8.00E-02,0.00E+00,1.50E-01,8.00E-02,0.00E+00,8.00E-02,1.50E-01,2.30E-01,7.70E-01,6.99E-01,3.50E+01,Photo,https://www.facebook.com/119573194818796/posts/3070054819770604,Belajar di rumah,"#SahabatDikbud, sudah membaca Surat Keputusan Bersama (SKB) empat menteri tentang perubahan atas SKB tentang Paduan Penyelengaraan Pembelajaran di masa pandemi Covid-19?Yuk, baca selengkapnya dan unduh pada laman berikut https://www.kemdikbud.go.id/.../skb-empat-menteri-tentang... ! #MerdekaBelajar #BersamaHadapiKorona #BelajardariRumah #SeruBelajarKebiasaanBaru #BangkituntukIndonesiaMaju",2021-01-03 09:35:00 EST
