Page Name,Page category,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Total Non-Like,Love_1,Care_2,Wow_3,Haha_4,Sad_5,Angry_6,Slightly Negative Avg,Weighted Sligtly negative,Slightly Negative Percentage,Mostly Negative Percentage,Mostly negative average,Weighted mostly Negative,Negative,Positive percentage,Positive AVG,Positive,Sentiment Index,Total Interactions,Overperforming Score,Type,Link,Content,Message,Post Created
Kementerian Pendidikan dan Kebudayaan RI,Official Page,1960,218,2516,43,1,1,0,1,0,46,4300%,0%,100%,100%,0%,100%,1,1.5,100%,200%,100%,2.25,4,4300.00%,2150%,53.75,1.82,390,1740,Photo,https://www.facebook.com/119573194818796/posts/3070054819770604,Belajar di rumah,"#SahabatDikbud, sudah membaca Surat Keputusan Bersama (SKB) empat menteri tentang perubahan atas SKB tentang Paduan Penyelengaraan Pembelajaran di masa pandemi Covid-19?Yuk, baca selengkapnya dan unduh pada laman berikut https://www.kemdikbud.go.id/.../skb-empat-menteri-tentang... ! #MerdekaBelajar #BersamaHadapiKorona #BelajardariRumah #SeruBelajarKebiasaanBaru #BangkituntukIndonesiaMaju",2020-08-12 21:00:30 EDT
Liputan6,Portal Berita,1798,1081,266,19,53,266,24,15,7,384,1900%,700%,5300%,26600%,2400%,1500%,159.5,239.25,7700%,30500%,14050%,316.125,590.5,2600.00%,1300%,32.5,0.55,308,601,Link,https://www.facebook.com/143840239716746/posts/680791972688234,UN 2020 ditiadakan,HORE!!!! Presiden Joko Widodo secara resmi memutuskan untuk menghapus Ujian Nasional (UN) 2020. #KAMUHARUSTAU,2020-03-24 03:20:07 EST
Tribun News,Portal Berita,1791,1080,256,19,53,265,24,15,7,383,1900%,700%,5300%,26500%,2400%,1500%,159,238.5,7700%,30400%,14000%,315,588.5,2600.00%,1300%,32.5,0.55,65.4,-2390,Link,https://www.facebook.com/36786411434/posts/10159562415741435,UN 2021 ditiadakan,Ujian Nasional (UN) dan ujian kesetaraan pada 2021 ditiadakan.,2021-02-04 03:20:07 EST
Kementerian Pendidikan dan Kebudayaan RI,Official Page,1782,115,1458,46,2,0,3,0,0,51,4600%,0%,200%,0%,300%,0%,1,1.5,500%,300%,0%,0,1.5,4600.00%,2300%,57.5,1.73,236,-1850,Photo,https://www.facebook.com/119573194818796/posts/3254367824672635,Belajar di rumah,"#SahabatDikbud, Unit Layanan Terpadu Kemendikbud akan melanjutkan layanan tatap muka daring melalui aplikasi zoom, loh.#SahabatDikbud, yuk daftarkan dirimu melalui tautan ringkas.kemdikbud.go.id/DaftarULT ! Pastikan setelah mendaftar untuk mencatat tanggallayanan yang dipilih dan perhatikan informasi pada formulir pendaftaran, ya.#MerdekaBelajar #ULTKemdikbud #BersamaHadapiKorona #TatapMukaDaring#UnggahUlang @ult.kemdikbud",2020-10-12 09:46:11 EDT
Kementerian Pendidikan dan Kebudayaan RI,Official Page,1705,219,1055,36,1,0,0,0,2,39,3600%,200%,100%,0%,0%,0%,0.5,0.75,100%,0%,0%,0,0.75,3800.00%,1900%,47.5,1.91,416,-333,Photo,https://www.facebook.com/119573194818796/posts/3114942001948552,Kouta internet gratis,"#SahabatDikbud, Mendikbud Nadiem Makarim @nadiemmakarim hadir dalam rapat kerja DPR RI Komisi X di Jakarta pada Kamis (27/08/2020).Raker tersebut memiliki tiga agenda, yaitu penyesuaian kebijakan pendidikan, inisiatif, dan solusi di masa pandemi Covid-19; subsidi kuota internet dan peningkatan jumlah penerima tunjangan profesi; dan laporan keuangan Kemendikbud tahun 2019.Baca selengkapnya di https://www.kemdikbud.go.id/.../komisi-x-dpr-ri-apresiasi...Sumber foto : @tasori123#MerdekaBelajar #RakerDPRRI #RakerKemendikbud",2020-08-27 06:30:07 EST
Kementerian Pendidikan dan Kebudayaan RI,Official Page,1686,134,1685,38,5,7,3,1,4,58,3800%,400%,500%,700%,300%,100%,6,9,800%,1100%,400%,9,19,4200.00%,2100%,52.5,1.34,355,-5800,Photo,https://www.facebook.com/119573194818796/posts/3553745038068244,UN 2021 ditiadakan,[Pengumuman] SE Mendikbud tentang Peniadaan UN 2021#SahabatDikbud dapat membaca selengkapnya di https://www.kemdikbud.go.id/.../se-mendikbud-tentang...#MerdekaBelajar #BersamaHadapiKorona,2021-02-04 21:45:01 EST
Kementerian Pendidikan dan Kebudayaan RI,Official Page,1680,279,2688,52,2,6,4,1,7,72,5200%,700%,200%,600%,400%,100%,4,6,600%,1100%,350%,7.875,14.75,5900.00%,2950%,73.75,1.54,270,2170,Native Video,https://www.facebook.com/119573194818796/posts/3058484500927636,"Pembelajaran tatap muka untuk, zona hijau","Protokol Kesehatan Ketat untuk Sekolah Tatap Muka di Zona Hijau dan Kuning.#SahabatDikbud , Mendikbud menegaskan bahwa pada saat sekolah melakukan pembelajaran tatap muka, kondisi protokol kesehatan sangat ketat. Masing-masing rombongan belajar (rombel) hanya diperbolehkan maksimal 50% dari kapasitas.Berarti sekolah harus melakukan rotasi/shifting saat siswa mengikuti pembelajaran tatap muka.Sekolah juga tidak diperbolehkan membuka aktivitas kantin, kegiatan berkumpul, atau kegiatan ekstrakurikuler yang memiliki risiko interaksi antara masing-masing rombel. Siswa hanya diperbolehkan mengikuti kegiatan belajar mengajar, kemudian langsung pulang setelah sekolah selesai. Selama berada di sekolah, siswa harus memakai masker dan sekolah maupun siswa harus memenuhi berbagai macam persyaratan atau checklist yang sangat ketat.#SahabatDikbud dapat menyimak pesan Mendikbud selengkapnya pada video berikut .#MerdekaBelajar #BersamaHadapiKorona #BelajardariRumah #SeruBelajarKebiasaanBaru #BangkituntukIndonesiaMaju",2020-08-08 05:32:07 EDT
Kementerian Pendidikan dan Kebudayaan RI,Official Page,1515,225,1501,57,22,4,1,2,4,90,5700%,400%,2200%,400%,100%,200%,13,19.5,2300%,700%,300%,6.75,27,6100.00%,3050%,76.25,1.28,323,62,Photo,https://www.facebook.com/119573194818796/posts/3058099730966113,Belajar di rumah,"#SahabatDikbud, salah satu pertimbangan diperbolehkannya pembelajaran tatap muka diperluas hingga zona kuning adalah banyaknya satuan pendidikan di daerah 3T (terdepan, terluar, dan tertinggal) sangat kesulitan untuk melaksanakan Pembelajaran Jarak Jauh (PJJ) karena minimnya akses.Hal ini dapat berdampak negatif terhadap tumbuh kembang dan psikososial anak secara permanen. Saat ini, 88% dari keseluruhan daerah 3T berada di zona kuning dan hijau. Dengan adanya penyesuaian Surat Keputusan Bersama (SKB) Empat Menteri, maka satuan pendidikan yang siap dan ingin melaksanakan pembelajaran tatap muka memiliki opsi untuk melaksanakannya secara bertahap dengan protokol kesehatan yang ketat.Walaupun berada di zona hijau dan kuning, satuan pendidikan tidak dapat melakukan pembelajaran tatap muka tanpa adanya persetujuan (1) Pemda/kanwil, (2) kepala sekolah (setelah sekolah dapat memenuhi protokol kesehatan yang ketat), dan (3) adanya persetujuan komite sekolah.Kemudian walaupun sekolah sudah melakukan pembelajaran tatap muka, persyaratan terakhir adalah adanya persetujuan dari orang tua peserta didik. Jika orang tua tidak setuju maka peserta didik tetap belajar dari rumah dan tidak dapat dipaksa.#MerdekaBelajar #BersamaHadapiKorona #BelajardariRumah #SeruBelajarKebiasaanBaru",2020-08-08 07:00:41 EST
Kementerian Pendidikan dan Kebudayaan RI,Official Page,1386,303,1144,26,0,3,0,0,2,31,2600%,200%,0%,300%,0%,0%,1.5,2.25,0%,300%,150%,3.375,6,2800.00%,1400%,35,1.73,330,-1290,Link,https://www.facebook.com/Official Page/posts/3353702251405858,Kouta internet gratis,,2020-11-17 23:00:00 EST
Metro Tv,Portal Berita,1318,74,367,18,2,7,1,0,0,28,1800%,0%,200%,700%,100%,0%,4.5,6.75,300%,800%,350%,7.875,15.5,1800.00%,900%,22.5,1.21,258,608,Photo,https://www.facebook.com/156483584365269/posts/3894544957225761,"pembelajaran tatap muka untuk, zona hijau","Kemendikbud telah mengeluarkan pedoman kurikulum darurat Covid-19 untuk proses pembelajaran yang lebih efektif di saat pandemi Covid-19. Lalu bagaimana mekanisme pembukaan sekolah di zona hijau - kuning? Dan bagaimana implementasi kurikulum dararut yang baru diluncurkan? #PrimeTalkMetroTV akan mengulasnya dalam episode ""Sekolah Dibuka di Zona Hijau-Kuning"" malam ini pukul 19.05 WIB.#METROTV #KNOWLEDGETOELEVATE #mendikbud #NadiemMakarie",2020-08-07 03:25:05 EDT
Tv one,Portal Berita,1312,73,365,18,2,6,1,0,0,27,1800%,0%,200%,600%,100%,0%,4,6,300%,700%,300%,6.75,13.5,1800.00%,900%,22.5,1.26,44.4,-1240,Photo,https://www.facebook.com/284251334961090/posts/3153687331350795,"Pembelajaran tatap muka untuk, zona hijau","Kementerian Pendidikan dan Kebudayaan Republik Indonesia memutuskan meniadakan pelaksanaan Ujian Nasional (UN) tahun 2020. Sang menteri Nadiem Anwar Makarim mengaku telah mendiskusikannya dengan Presiden Joko Widodo dan Kepala Negara merestuinya..""Setelah kami pertimbangkan dan diskusi dengan Presiden dan instansi di luar, kami putuskan membatalkan Ujian Nasional 2020,â€ katanya melalui konfenrensi pers siaran langsung di tvOne, Selasa, 24 Maret 2020..Tidak ada alasan lain kecuali demi keselamatan para siswa dan keluarga mereka yang melatarbelakangi keputusan itu. Pemerintah tak ingin kegiatan Ujian Nasional justru menjadi sarana penularan virus corona sehingga akan lebih banyak lagi yang terinfeksi.Baca berita selengkapnya di Vivanews.comSumber: @vivanewscom#NewsOne #tvOneNews #Vivanews #NadiemMakarim #UN2020Ditiadakan #UjianNasional #VirusCorona #Covid19Indonesia",2020-03-24 03:25:05 EDT
BBC News Indonesia,Portal Berita,1277,39,588,59,19,5,4,0,0,87,5900%,0%,1900%,500%,400%,0%,12,18,2300%,900%,250%,5.625,24.25,5900.00%,2950%,73.75,1.26,47.6,2020,Link,https://www.facebook.com/10150118096995434/posts/10163532902055434,UN 2020 ditiadakan,"Ujian Nasional (UN) tahun ini resmi dibatalkan. Mendikbud Nadiem Makarim mengatakan alasan nomor satu pembatalan UN ""adalah keamanan dan kesehatan siswa-siswa kita, keamanan keluarga mereka, dan kakek-nenek siswa-siswa tersebut"".",2020-03-24 02:17:28 EDT
BBC News Indonesia,Portal Berita,1181,39,588,59,19,5,4,0,0,87,5900%,0%,1900%,500%,400%,0%,12,18,2300%,900%,250%,5.625,24.25,5900.00%,2950%,73.75,1.26,241,-1640,Native Video,https://www.facebook.com/177732508945656/posts/4064877023564499,UN 2020 ditiadakan,Menteri Pendidikan dan Kebudayaan Nadiem Makarim memutuskan untuk meniadakanujian nasional (UN) dan ujian kesetaraan di tahun 2021. Keputusan tersebut tertuang dalam Surat Edaran (SE) Mendikbud Nomor 1 Tahun 2021 tentang Peniadaan Ujian Nasional dan Ujian Kesetaraan serta Pelaksanaan Ujian Sekolah dalam Masa Darurat Penyebaran Corona Virus Disease (Covid-19).Tuliskan pendapatmu mengenai berita di atas dan dapatkan berita lainnya di www.kompas.tv dan youtube.com/kompastv,2021-02-05 02:17:28 EDT
Indozone.id,Portal Berita,1177,88,605,7,5,3,4,0,0,19,700%,0%,500%,300%,400%,0%,4,6,900%,700%,150%,3.375,9.75,700.00%,350%,8.75,0.84,46.1,-7860,Link,https://www.facebook.com/143840239716746/posts/680791972688234,UN 2020 ditiadakan,HORE!!!! Presiden Joko Widodo secara resmi memutuskan untuk menghapus Ujian Nasional (UN) 2020. #KAMUHARUSTAU,2020-03-24 01:56:30 EDT
Indozone.id,Portal Berita,1177,88,605,7,5,3,4,0,0,19,700%,0%,500%,300%,400%,0%,4,6,900%,700%,150%,3.375,9.75,700.00%,350%,8.75,0.84,310,956,Link,https://www.facebook.com/BBCNewsIndonesia/,UN 2020 ditiadakan,"Ujian Nasional (UN) tahun ini resmi dibatalkan. Mendikbud Nadiem Makarim mengatakan alasan nomor satu pembatalan UN ""adalah keamanan dan kesehatan siswa-siswa kita, keamanan keluarga mereka, dan kakek-nenek siswa-siswa tersebut"".",2020-03-24 01:56:30 EDT
Kementerian Pendidikan dan Kebudayaan RI,Official Page,1149,134,125,36,1,2,2,1,1,43,3600%,100%,100%,200%,200%,100%,1.5,2.25,300%,500%,150%,3.375,6,3700.00%,1850%,46.25,1.63,302,2350,Link,https://www.facebook.com/Official Page/posts/3114942001948552,Kouta internet gratis,,2020-08-27 05:24:49 EDT
Kementerian Pendidikan dan Kebudayaan RI,Official Page,1135,167,402,44,2,1,0,0,0,47,4400%,0%,200%,100%,0%,0%,1.5,2.25,200%,100%,50%,1.125,3.5,4400.00%,2200%,55,1.83,273,5870,Native Video,https://www.facebook.com/watch/?v=667353400787285,Belajar di rumah,"#SahabatDikbud,
 Mendikbud Nadiem Makarim menjelaskan sebesar 94% dari peserta didik 
tidak diperkenankan untuk melakukan pembelajaran tatap muka, jadi masih 
belajar dari rumah. Sedangkan sebesar 6% peserta didik di zona hijau 
diperbolehkan untuk melakukan pembelajaran tatap muka dengan protokol 
kesehatan yang ketat, jelas Mendikbud dalam pengumuman keputusan bersama
 ""Panduan Penyelenggaraan Pembelajaran pada Tahun Ajaran dan Tahun 
Akademik Baru di Masa Pandemi Covid-19"" secara daring, pada Senin 
(15/6/2020).

Yuk, simak penjelasan selengkapnya pada YouTube KEMENDIKBUD RI! Untuk 
Panduan Penyelenggaraan Pembelajaran pada Tahun Ajaran dan Tahun 
Akademik Baru di Masa Covid-19, dapat diunduh di laman kemdikbud.go.id 
atau klik tautan pada bio! ðŸ‘ðŸ˜Š

#MerdekaBelajar #TahunAjaran2020 #TahunAkademikBaru2020",2021-02-04 09:41:18 EDT
Kementerian Pendidikan dan Kebudayaan RI,Official Page,1087,109,453,25,0,3,0,0,6,34,2500%,600%,0%,300%,0%,0%,1.5,2.25,0%,300%,150%,3.375,6,3100.00%,1550%,38.75,1.75,305,-291,Photo,https://www.facebook.com/119573194818796/posts/2716928428416580,Belajar di rumah,"#SahabatDikbud, yuk simak pengumuman sementara mengenai pelaksanaan Ujian Nasional (UN) tahun pelajaran 2019/2020. Pengumuman secara detail akan diumumkan selanjutnya. Simak informasi resmi mengenai UN 2020 pada kanal resmi Kemendikbud, ya! #MerdekaBelajar #UN2020",2020-03-24 21:00:33 EST
TV One,Portal Berita,1049,7,496,5,3,0,0,0,0,8,500%,0%,300%,0%,0%,0%,1.5,2.25,300%,0%,0%,0,2.25,500.00%,250%,6.25,1.18,214,966,Photo,https://www.facebook.com/284251334961090/posts/3131168196936042,Belajar di rumah,"Antisipasi Corona Presiden imbau rakyat bekerja, belajar, beribadat di rumah.Saksikan Kabar Petang jam 16.30 WIB bersama Sofyan dan Seera hanya di tvOne & streaming di tvOnenews.com/live #KabarPetangtvOne",2020-03-1511:43:39 EDT
INFO PENDIDIKAN INDONESIA,Portal Berita,1046,7,494,5,3,0,0,0,0,8,500%,0%,300%,0%,0%,0%,1.5,2.25,300%,0%,0%,0,2.25,500.00%,250%,6.25,1.18,40.8,2020,Link,https://www.facebook.com/1678204769058355/posts/2546767265535430,UN 2020 ditiadakan,"Resmi, Ujian Nasional DitiadakanSurat Edaran Mendikbud Nomor 4 Tahun 2020",2020-03-24 11:43:39 EDT
Kementerian Pendidikan dan Kebudayaan RI,Official Page,985,56,523,14,3,1,0,0,0,18,1400%,0%,300%,100%,0%,0%,2,3,300%,100%,50%,1.125,4.25,1400.00%,700%,17.5,1.45,325,-2050,Photo,https://www.facebook.com/119573194818796/posts/2889997404443014,Belajar di rumah,"#SahabatDikbud, Kementerian Pendidikan dan Kebudayaan (Kemendikbud) menetapkan Tahun Ajaran baru 2020/2021 akan dimulai pada pertengahan Juli 2020. Dalam pelaksanaannya, Kepala Biro Kerja sama dan Humas Evy Mulyani menegaskan bahwa dimulainya tahun ajaran baru tersebut tidak sama dengan kegiatan belajar mengajar secara tatap muka di sekolah.â€œTentunya yang menjadi prioritas kami adalah kesehatan dan keselamatan warga sekolah (siswa, guru dan orang tua) sehingga pembukaan kembali sekolah di wilayah zona hijau tidak serta merta dibuka, tetapi akan dilakukan dengan sangat hati-hati, dan tetap mengikuti protokol kesehatan,â€ demikian disampaikan Evy pada diskusi Zoom With Primus yang disiarkan secara langsung di BeritaNews Channel, di Jakarta, pada Jumat (05/06/2020).Baca selengkapnya di https://www.kemdikbud.go.id/.../kesehatan-warga-sekolah...#MerdekaBelajar #BersamaHadapiKorona",2020-06-07 20:36:39 EDT
MERDEKA.com,Portal Berita,943,0,3,2,0,2,0,0,0,4,200%,0%,0%,200%,0%,0%,1,1.5,0%,200%,100%,2.25,4,200.00%,100%,2.5,1.00,256,1320,Link,https://www.facebook.com/324658284241923/posts/5626285720745793,UN 2021 ditiadakan,"Menteri Pendidikan dan Kebudayaan (Mendikbud) Nadiem Makarim meniadakan Ujian Nasional (UN) dan ujian kesetaraan serta ujian sekolah di 2021. Hal ini tertuang melalui Surat Edaran (SE) Mendikbud Nomor 1 Tahun 2021 tentang Peniadaan Ujian Nasional dan Ujian Kesetaraan Peserta Pelaksanaan Ujian Sekolah dalam Masa Darurat Penyebaran Covid-19.""Berkenaan dengan penyebaran Corona Virus Disease (Covid-19) yang semakin meningkat maka perlu dilakukan langkah responsif yang mengutamakan keselamatan dan kesehatan lahir dan batin peserta didik, pendidik, dan tenaga kependidikan,"" bunyi SE yang diteken Nadiem pada 1 Februari 2021 itu.Dengan peniadaan ini, maka UN serta ujian kesetaraan tak menjadi syarat kelulusan siswa atau seleksi masuk perguruan tinggi pada tahun ajaran ini.Kelulusan ditentukan oleh rapor serta perilaku baik dan ujian sekolah yang diubah konsepnya.""Peserta didik dinyatakan lulus dari satuan/program pendidikan setelah menyelesaikan program pembelajaran di masa pandemi COVID-19 yang dibuktikan dengan rapor tiap semester; memperoleh nilai sikap/perilaku minimal baik, dan c. mengikuti ujian yang diselenggarakan oleh satuan pendidikan,"" sebut aturan itu.Ujian sekolah tersebut dilaksanakan dalam bentuk portofolio berupa evaluasi atas nilai rapor, nilai sikap/perilaku, dan prestasi yang diperoleh sebelumnya (penghargaan, hasil perlombaan dan sebagainya).Penentuan kelulusan juga bisa dari penugasan serta tes secara luring atau daring, dan/atau bentuk kegiatan penilaian lain yang ditetapkan oleh satuan pendidikan.--#MDKNews #News #Merdekadotcom #MenteriPendidikandanKebudayaan #NadiemMakarim #KelulusanTahun2021 #UN2021Ditiadakan #SEMendikbud #Seman9atIndonesia #MerdekaBisaBerkarya #SosokMerdeka #mdkty",2021-02-04 22:08:03 EST
Kementerian Pendidikan dan Kebudayaan RI,Official Page,887,186,120,14,2,14,0,0,0,30,1400%,0%,200%,1400%,0%,0%,8,12,200%,1400%,700%,15.75,29.5,1400.00%,700%,17.5,0.95,265,-376,Native Video,https://www.facebook.com/119573194818796/posts/2696893673753389,Belajar di rumah,"Sekolah #SahabatDikbud diliburkan? Tidak perlu khawatir tertinggal materi pelajaran. #SahabatDikbud dapat belajar secara online di rumah melalui Rumah Belajar @belajar.kemdikbud. Yuk, manfaatkan fitur-fitur yang ada di rumah belajar untuk membantu #SahabatDikbud belajar di mana dan kapan saja! Tetap semangat belajar dan terus jaga kesehatan ya, #SahabatDikbud!#MerdekaBelajar #RumahBelajar #KelasDigital#UnggahUlang @belajar.kemdikbud",2020-09-24 21:06:36 EDT
Kementerian Pendidikan dan Kebudayaan RI,Official Page,779,210,152,8,0,3,1,1,2,15,800%,200%,0%,300%,100%,100%,1.5,2.25,100%,500%,200%,4.5,7.25,1000.00%,500%,12.5,1.25,367,2050,Native Video,https://www.facebook.com/119573194818796/posts/2979059915536762,"pembelajaran tatap muka untuk, zona hijau","Ayah dan Bunda, berikut panduan ""Seru Belajar Kebiasaan Baru"" yang harus diikuti anak ketika kembali belajar di sekolah. Jangan lupa, hanya sekolah di zona hijau yang boleh melakukan pembelajaran tatap muka di sekolah. Itu pun harus memenuhi persyaratan berlapis. Apa saja ya panduannya? Yuk, simak informasinya pada video berikut! #SeruBelajarKebiasaanBaru #SelamatKembaliKeSekolah #MerdekaBelajar",2020-09-16 02:30:01 EDT
